id,empresa,nps,npstipo,causa1,causa2,causa3,region,prod,verbatim,problema,servicio,conveniencia,relacionamiento
2000014150,Movistar,8,Neutros,Los precios y variedad de planespacks,Precio del plan,Precio del planBeneficios en las recargas (Doble crédito m,AMBA,Mixto,todo pero la compañia en la plata que me de un mejor porque es lo unico que hay no tengo señal se corta la señal del internet la señal 4g no existelas antenas no hay y no hay señal en ningun lado,False,True,False,False
2000008075,Movistar,7,Neutros,La (variedad disponibilidad precio) de los equipos celular,Variedad de equipos (marcas y modelos),Oferta de accesorios,AMBA,Postpago,bajar las tarifas en cuanto al costo del abono mensual,False,False,True,False
2000004673,Movistar,9,Promotores,Los precios y variedad de planespacks,Precio del plan,Precio del planBeneficios en las recargas (Doble crédito m,AMBA,Mixto,porque no he tenido problema con el servicio de esta linea el internet es bueno es decir antes tenia 50mbahora me  dan 3gb cuando cambie de plan y pago 500 peso,True,True,True,False
2000177223,Claro,8,Neutros,La calidad y cobertura de la señal,Cobertura de la señal (para Solo voz yo sms),Cobertura de la señal,SUR,Mixto,los usuarios sufrimois mucho porque se cae el sistema muy seguido y se caen las llamadas,False,True,False,False
2000177207,Claro,5,Detractores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,SUR,Prepago,el internet es una porqueria se corta no anda bien cuando no tengo wifi,False,True,False,False
2000152979,Movistar,9,Promotores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,LITORAL,Mixto,porque es la unica empresa que he utiizado y no he tenido ningun incoveniente cuando ha tenido algun incoveniente siempre me han informado de manera correcta como solucionarlo,False,False,False,True
2000006149,Movistar,5,Detractores,La modalidad de pago de la factura y compra de producto,Facilidad de compra (pago de factura compra de crédito),Email,AMBA,Mixto,que trate de hacer una compra telefonicamente y fue un desastre porque despues de un mes y despues haberme hecho el debito fue que me informaron que hicieron la reversion del pago porque nunca me entregaron el aparato,False,False,False,False
2000001578,Movistar,7,Neutros,Los precios y variedad de planespacks,InternetDatos a través de celular,Plan todo en uno (combina llamados mensajes de texto datos,AMBA,Prepago,el internet se cuelga y no me permite conversar por whatapp,False,True,False,False
2000009568,Movistar,5,Detractores,La modalidad de pago de la factura y compra de producto,Claridad y simplicidad de la factura,Facilidad para encontrar puntos de venta y pago,AMBA,Mixto,porque hay bastantes fallas como megabaycuando voy y reclamo y no responden y me dicen que no hay a bonos,False,False,False,False
2000011999,Movistar,8,Neutros,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,AMBA,Mixto,tiene que mejorar la atencion al cliente algunas veces no se puede llegar a contactar con el asesor,False,False,False,True
2000007759,Movistar,10,Promotores,La modalidad de pago de la factura y compra de producto,Facilidad para encontrar puntos de venta y pago,Descarga de juegos y aplicaciones,AMBA,Mixto,porque nunca me afallado me fui afuera tambien me andubo bien no tube problemas en el sentido de que tube un compañia y no podia hablar a larga distancia y con movistar no tengo problemas,True,False,False,False
2000177921,Claro,8,Neutros,La atención al cliente,Otros,Otros,SUR,Postpago,en el tema aveces de la atencion me compre un telefono me vendieron usados y fallado y reclamado varias veces,False,False,False,True
2000002001,Movistar,10,Promotores,La calidad y cobertura de la señal,Calidad de envío de mensajes (SMS yo Whatsapp yu otras apl,Calidad de envío de mensaje de texto (SMS),AMBA,Mixto,buen funcionamiento eficaz en todo,False,False,False,False
2000003237,Movistar,9,Promotores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,AMBA,Prepago,porque tiene señal en todos lados para recibir y realizar llamadas,False,True,False,False
2000155310,Claro,6,Detractores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,LITORAL,Prepago,porque cuando estoy en mi casa no tengo señal g dentro no sirve el internet dentro de la casafuera de la casa si hay señal,False,True,False,False
2000004784,Movistar,5,Detractores,La calidad y cobertura de la señal,Otros,Otros,AMBA,Postpago,por que despues de 10 años pase de todo con movistar los servicios nunca fueron buenos muchas veces se cortan las comunicaciones cuando estoy hablando se corta de la nada tiene problemas con la antena,True,True,False,False
2000015148,Claro,10,Promotores,Los precios y variedad de planespacks,Precio del plan,Precio del planBeneficios en las recargas (Doble crédito m,AMBA,Mixto,es accesible y tengo cobertura en todos lados,False,True,False,False
2000155244,Personal,8,Neutros,Los precios y variedad de planespacks,InternetDatos a través de celular,Plan todo en uno (combina llamados mensajes de texto datos,LITORAL,Mixto,deberia mejorar el internet ya que se corta y no puedo navegar cuando ingreso a youtube no me cargan los videos y me indica que ya a culminado el credito,False,True,False,False
